"mouse","ensembl2","lower_anatomicalEntity"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC04936","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000122585","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC04936","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000122585","http://purl.obolibrary.org/obo/UBERON_0013541"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03421","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03388","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03419","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03390","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03423","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03418","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03420","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03391","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03422","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03389","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC00052","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC03298","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000130203","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC04964","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000198087","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC04965","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000198087","http://purl.obolibrary.org/obo/UBERON_0000451"
"http://metadb.riken.jp/db/rikenbrc_mouse/RBRC02661","http://rdf.ebi.ac.uk/resource/ensembl/ENSG00000254647","http://purl.obolibrary.org/obo/UBERON_0000451"
